ID,y
1,81.8411260226
2,100.956331177
3,80.9207256493
4,80.5054104886
5,122.522770022
8,94.2556674207
10,113.874270788
11,95.3586050019
12,118.102443108
14,95.2974896199
15,117.532563538
16,105.403012893
17,101.888562094
19,95.242763274
20,105.351523018
21,103.533843517
22,117.892046003
23,101.457855994
26,96.7176586908
28,94.2406829584
29,96.4575240398
33,96.3270028508
35,94.7768801082
41,96.8800855339
42,94.3996287311
43,117.335254327
45,103.979528361
46,103.987044333
51,94.0349729626
53,80.2224541942
55,112.462092255
56,94.4851678395
57,104.29585985
58,95.4917436892
59,104.513485069
63,112.146866512
64,95.0012103535
65,104.793884282
69,94.9044487733
71,95.0110117516
72,104.428565772
73,94.3978247206
76,104.422610501
77,104.218978762
78,116.056723235
82,94.3507165046
83,104.757579581
84,94.3740928952
85,103.914665494
87,112.306474381
88,96.2746956639
89,112.679324138
91,94.8752198923
93,94.645406877
94,104.438040717
95,96.3508644678
96,111.494090616
97,94.260551202
98,113.011479253
99,94.1842000974
101,104.331988671
103,112.679279457
104,94.1235173284
105,111.934353013
110,94.7784626922
111,112.393761981
113,112.690539046
114,93.4985536877
115,115.056156706
117,112.679234776
120,94.2851227197
121,112.420631311
122,93.8850289089
123,112.802346531
126,112.311377683
132,111.981959444
135,104.893898814
137,104.436423088
138,94.6486868878
140,94.4712202467
142,113.619467935
144,112.305827071
148,93.9657043084
149,114.900293535
155,94.4904317235
156,112.320086258
157,94.5150517879
162,112.248594941
163,94.7786048265
167,94.3330880533
172,116.077381072
179,113.00019637
180,94.0737552382
181,111.821775251
182,95.0329340291
183,112.679024135
185,112.679017752
187,112.090884232
188,94.1233655682
189,94.0617598621
191,94.2625890097
192,113.246890488
193,94.7835599632
194,112.003853925
195,93.7143793797
196,112.393780618
198,94.5983124455
199,112.347735277
201,104.458388568
204,94.4249578753
205,105.003331325
206,94.2929026286
210,94.3490040592
211,104.331637603
216,112.478143668
219,115.684370657
220,94.0431544345
221,111.948623603
226,111.821631632
227,94.1556763486
228,112.32575399
230,112.359110949
231,93.6540520649
235,116.531396115
236,94.1999615766
238,113.142158842
242,104.530812495
243,94.6501539566
244,80.1270398536
245,112.420643626
247,118.131304008
248,93.947403413
249,94.1939377145
250,111.709228698
251,94.1999137037
253,116.531338667
254,93.8786274199
256,94.2023861541
257,93.5285888536
258,112.34950128
259,94.2263739493
262,80.2487413828
266,94.4929862417
267,114.912658024
272,103.628461157
273,112.66849825
275,101.386105869
276,112.912401965
279,94.6321678759
280,104.684952254
283,94.3376649395
285,112.472254812
288,112.668450377
289,94.869013583
290,104.516576201
291,94.607068518
292,111.487810457
293,112.321075715
296,108.321349211
297,111.996615317
298,115.86559904
299,94.3498560961
304,93.7286056252
305,87.9470458071
306,94.3300265781
307,111.781295909
311,109.794862194
313,111.791965542
314,93.9191616361
316,94.5951561106
324,95.472013198
327,94.5274845804
329,93.8161952095
330,111.999444963
337,103.997245902
338,94.921821321
339,104.998635698
340,94.8912901848
343,93.7264276103
345,115.622467975
346,94.2863131563
347,115.404071403
349,112.195199058
350,93.6934014024
352,112.413210718
353,94.0317099622
354,78.6755103217
357,94.0924503325
